word,category,is_oov,notes,source
ICIMOD,ABBR,True,Intl Centre for Integrated Mountain Development,seed_guide
SAARC,ABBR,True,South Asian Association for Regional Cooperation,seed_guide
UNESCO,ABBR,True,UN Educational Scientific Cultural Organization,seed_guide
UNICEF,ABBR,True,UN Childrens Fund,seed_guide
UNDP,ABBR,True,UN Development Programme,seed_guide
NRB,ABBR,True,Nepal Rastra Bank,seed_guide
FNCCI,ABBR,True,Federation of Nepalese Chambers of Commerce,seed_guide
CIAA,ABBR,True,Commission for Investigation of Abuse of Authority,seed_guide
OPM,ABBR,True,Office of Prime Minister,seed_guide
BIPPA,ABBR,True,Bilateral Investment Promotion and Protection Agreement,seed_guide
SEBON,ABBR,True,Securities Board of Nepal,seed_guide
BNMT,ABBR,True,Border Network and Mobile Telecom,seed_guide
UCPN,ABBR,True,Unified Communist Party of Nepal,seed_guide
NHRC,ABBR,True,National Human Rights Commission,seed_guide
WHO,ABBR,True,World Health Organization,seed_guide
IMF,ABBR,True,International Monetary Fund,seed_guide
ADB,ABBR,True,Asian Development Bank,seed_guide
WFP,ABBR,True,World Food Programme,seed_guide
UNHCR,ABBR,True,UN High Commissioner for Refugees,seed_guide
NATO,ABBR,True,North Atlantic Treaty Organization,seed_guide
ASEAN,ABBR,True,Association of Southeast Asian Nations,seed_guide
ICC,ABBR,True,International Criminal Court,seed_guide
INGO,ABBR,True,International Non-Governmental Organization,seed_guide
NGO,ABBR,True,Non-Governmental Organization,seed_guide
MOU,ABBR,True,Memorandum of Understanding,seed_guide
GDP,ABBR,True,Gross Domestic Product,seed_guide
GNP,ABBR,True,Gross National Product,seed_guide
FDI,ABBR,True,Foreign Direct Investment,seed_guide
VAT,ABBR,True,Value Added Tax,seed_guide
ATM,ABBR,True,Automated Teller Machine,seed_guide
PIN,ABBR,True,Personal Identification Number,seed_guide
OTP,ABBR,True,One Time Password,seed_guide
SIM,ABBR,True,Subscriber Identity Module,seed_guide
GPS,ABBR,True,Global Positioning System,seed_guide
USB,ABBR,True,Universal Serial Bus,seed_guide
WiFi,ABBR,True,Wireless Fidelity — mixed case,seed_guide
CCTV,ABBR,True,Closed Circuit Television,seed_guide
PCR,ABBR,True,Polymerase Chain Reaction — COVID context,seed_guide
ICU,ABBR,True,Intensive Care Unit,seed_guide
ECG,ABBR,True,Electrocardiogram,seed_guide
MRI,ABBR,True,Magnetic Resonance Imaging,seed_guide
