word,category,is_oov,notes,source
कोषू,GOVT,True,,step4_corpus
परिक्षणआयोजना,GOVT,True,,step4_corpus
उज्ज्वला योजना,GOVT,True,Jj- geminate conjunct,seed_guide
आत्मनिर्भर,GOVT,True,Sanskrit compound — self-reliant,seed_guide
प्रधानमन्त्री आवास,GOVT,True,Long compound — PM housing scheme,seed_guide
समृद्ध नेपाल,GOVT,True,Conjunct ddh,seed_guide
दिगो विकास,GOVT,True,Sustainable development,seed_guide
राष्ट्रिय स्वास्थ्य बिमा,GOVT,True,Conjunct sw- + retroflex,seed_guide
सुकुम्बासी आवास,GOVT,True,Landless housing scheme,seed_guide
कृषि ऋण,GOVT,True,Agricultural loan scheme,seed_guide
बालिका विवाह उत्थान,GOVT,True,Girl child marriage uplift scheme,seed_guide
कर्णाली एकीकृत,GOVT,True,Code-mix scheme name,seed_guide
मुख्यमन्त्री रोजगार,GOVT,True,CM employment scheme — conjunct,seed_guide
युवा स्वरोजगार,GOVT,True,Youth self-employment — sw-,seed_guide
अनुदान कार्यक्रम,GOVT,True,Subsidy program,seed_guide
सामाजिक सुरक्षा,GOVT,True,Social security — cluster,seed_guide
वृद्ध भत्ता,GOVT,True,Old age allowance,seed_guide
विधवा भत्ता,GOVT,True,Widow allowance — dh- cluster,seed_guide
अपाङ्गता भत्ता,GOVT,True,Disability allowance — conjunct ङ्ग,seed_guide
एकल महिला,GOVT,True,Single women scheme,seed_guide
जनजाति उत्थान,GOVT,True,Indigenous uplift — double t,seed_guide
दलित सशक्तिकरण,GOVT,True,Dalit empowerment — sh+kt cluster,seed_guide
सिंचाइ विकास,GOVT,True,Irrigation development,seed_guide
खानेपानी योजना,GOVT,True,Drinking water scheme,seed_guide
सडक विस्तार,GOVT,True,Road expansion — retroflex,seed_guide
विद्युत् प्राधिकरण,GOVT,True,Electricity authority — conjunct,seed_guide
नेपाल विद्युत्,GOVT,True,NEA — conjunct t,seed_guide
राजस्व अनुसन्धान,GOVT,True,Revenue investigation — sw-,seed_guide
भ्रष्टाचार नियन्त्रण,GOVT,True,Corruption control — conjunct,seed_guide
संविधान संशोधन,GOVT,True,Constitution amendment — conjunct,seed_guide
निर्वाचन आयोग,GOVT,True,Election commission,seed_guide
लोकसेवा आयोग,GOVT,True,Public service commission — sw-,seed_guide
