# Nepali OOV TTS Benchmark — Recording Script
# Total utterances: 223
# Words per utterance: 5
#
# Instructions:
#   - Read each line clearly, pausing briefly between words.
#   - Each comma = a short pause.
#   - Do not add sentence intonation — treat each word independently.
#   - If unsure of a pronunciation, ask the language expert.
#
# ════════════════════════════════════════════════
# SECTION A — OOV Utterances (119 utterances)
# ════════════════════════════════════════════════
-भैरहवा, discount code, दिल्लीबजार, सिरहा, login गर्नुस्
-Ncell, Saurya Airlines, online class, Samsung, Carlsberg
-तुम्बहल, सिनामङ्गल, FonePay, उज्ज्वला योजना, zoom meeting
-spam message, Disprin, साँखु, तिलिचो ताल, साँझतिर
-स्वर्णलक्ष्मी, भक्तपुर दरबार, स्थानीय सरकार, Vivo, रारा ताल
-Mega Bank, फाप्लु, पुतलीसडक, Panasonic, IT
-युवा स्वरोजगार, WiFi signal, परिक्षणआयोजना, अस्ट्रेलिया, UCPN
-अर्जेन्टिना, न्यातापोल, कपिलवस्तु, Purnima Finance, ICC
-रत्नपार्क, थोरोङ ला, Chilime Hydropower, Subisu, कृष्णमन्दिर
-Pepsi, Esewa, त्रिपुरेश्वर, मुख्यमन्त्री रोजगार, भोजपुर
-दिवङ्गत, संघीय संसद, त्रियुगा, फिनल्याण्ड, बनेपा
-चेन्नईले, ल्हासा, live streaming, Kurkure, पोखरा लेकसाइड
-वृद्ध भत्ता, Sensodyne, परराष्ट्र मन्त्रालय, सञ्चार तथा सूचना, refund request
-चाबहिल, पुल्चोक, iSmart, दासढुंगामा, खप्तड
-electricity bill online, संविधान संशोधन, पर्यटन मन्त्रालय, सप्तरी, data plan
-जोरपाटी, internet bandwidth, ध्रुव, पशुपतिनाथ, format गर्नुस्
-app update, IMF, राजवंशी, गृह मन्त्रालय, सिंचाइ विकास
-OPM, समृद्ध नेपाल, वफादार, Siddhartha Bank, यूथ
-block गर्नुस्, कर्णाली एकीकृत, RAM, story post, Agriculture Development Bank
-Deprosc Laghubitta, थोरोङ पास, Nepal Investment Bank, काठमाडौं, ठमेल
-Golchha Organisation, Tuborg, backup लिनुस्, मनाङ, GPS location
-माघभित्र, Oreo, गौर, टोखा, लोकसेवा आयोग
-गुरुङ, कोषू, Nepal Life Insurance, Maruti, EV
-INGO, करोड़ौं, Himalayan Bank, WHO, क्यानडा
-BC, LG, Zandu, Bhatbhateni, Lifebuoy
-लाङटाङ हिमाल, म्यानमार, Surf, IME, NIC Asia Bank
-नाइजेरिया, कालापत्थर, ब्राजिल, सर्वोच्च अदालत, भानुभक्त
-भीमसेन थान, ऐया, video call गर्ने, चो ओयु, Shikhar Insurance
-KTM, लन्डन, जण्डिस, software install, NIBL Ace Capital
-दासढुंगा, ललितपुर महानगर, CPU, Instagram reel, करोड़ौंको
-news feed, ऊर्जा मन्त्रालय, हेटौँडा, Panadol, PDF
-voucher apply, AI, Bouddha Air, CCTV जडान, Chaudhary Group
