word,corpus_freq,n_missing,missing_bigrams
झडङ्ङ,5,2,डङ ्ङ
डङ्ङगुर,4,2,डङ ्ङ
डङ्ङ,3,2,डङ ्ङ
तङ्ङु,2,2,ङु ्ङ
ढुङ्ङो,2,2,ङो ्ङ
एफइआइएमएस,7,2,इआ फइ
एफइआईएमएस,2,2,इआ फइ
एर्फइआईएमएस,2,2,इआ फइ
भृ्ङ्गराज,2,2,ृ् ्ङ
हृवाङ्ङै,3,2,ङै ्ङ
ड्याङ्ङै,2,2,ङै ्ङ
छङ्ङ,2,2,छङ ्ङ
ठङ्ग्रङ्ङ,2,2,ठङ ्ङ
डङोलले,2,2,ङो डङ
पॉंच,15,2,पॉ ॉं
पॉंचवटा,6,2,पॉ ॉं
पॉंचवर्ष,2,2,पॉ ॉं
चॉंड़ै,3,3,चॉ ़ै ॉं
अर्धदक्ष,125,1,धद
जनयुद्धदेखि,35,1,धद
युद्धदेखि,30,1,धद
सॉंच्चै,11,2,सॉ ॉं
सॉंचो,8,2,सॉ ॉं
सॉंस्कृतिक,5,2,सॉ ॉं
ििै,4,2,िि िै
गरििदए,9,2,दए िि
गरििदएको,7,2,दए िि
गरििदएका,3,2,दए िि
आर्म्स्ट्रॉंग,2,2,रॉ ॉं
इख,91,1,इख
कमाइखाने,37,1,इख
माइखोलामा,33,1,इख
जॉंच,20,2,जॉ ॉं
जॉंदा,10,2,जॉ ॉं
जॉंदै,3,2,जॉ ॉं
नागरिकइतभभत्र,2,2,कइ भभ
ईङंकसँग,5,2,ईङ ङं
चॉंही,7,2,चॉ ॉं
चॉंडो,3,2,चॉ ॉं
खॉंटी,3,2,खॉ ॉं
मॉं,2,2,मॉ ॉं
गॉंसियो,2,2,गॉ ॉं
आखॉं,2,2,खॉ ॉं
खॉंचो,2,2,खॉ ॉं
टॉंसेका,2,2,टॉ ॉं
ठॉंउमा,2,2,ठॉ ॉं
खष्ििबनभ,2,2,खष िि
घॉंस,5,2,घॉ ॉं
ऋभिि,4,2,ऋभ िि
सम्बोृधन,2,2,ृध ोृ
दॉंत,2,2,दॉ ॉं
जँचाउन,141,1,जँ
जँड्याहा,89,1,जँ
जँहा,53,1,जँ
ईङघङ,4,2,ईङ घङ
छॉंट,3,2,छॉ ॉं
चेन्नई,530,1,नई
चेन्नईले,108,1,नई
नई,99,1,नई
गर्दैे,66,1,ैे
धेरैे,29,1,ैे
नैे,28,1,ैे
गौङडङ,3,2,डङ ौङ
ईङ्गल्याण्ड,28,1,ईङ
