sentence_id,word,category,is_oov,sentence,source
OOV_0001,भैरहवा,NAV,True,"भैरहवा, discount code, दिल्लीबजार, सिरहा, login गर्नुस्",seed_guide
OOV_0001,discount code,CM,True,"भैरहवा, discount code, दिल्लीबजार, सिरहा, login गर्नुस्",seed_guide
OOV_0001,दिल्लीबजार,NAV,True,"भैरहवा, discount code, दिल्लीबजार, सिरहा, login गर्नुस्",seed_guide
OOV_0001,सिरहा,PROP,True,"भैरहवा, discount code, दिल्लीबजार, सिरहा, login गर्नुस्",seed_guide
OOV_0001,login गर्नुस्,CM,True,"भैरहवा, discount code, दिल्लीबजार, सिरहा, login गर्नुस्",seed_guide
OOV_0002,Ncell,CMPY,True,"Ncell, Saurya Airlines, online class, Samsung, Carlsberg",seed_guide
OOV_0002,Saurya Airlines,CMPY,True,"Ncell, Saurya Airlines, online class, Samsung, Carlsberg",seed_guide
OOV_0002,online class,CM,True,"Ncell, Saurya Airlines, online class, Samsung, Carlsberg",seed_guide
OOV_0002,Samsung,BRAND,True,"Ncell, Saurya Airlines, online class, Samsung, Carlsberg",seed_guide
OOV_0002,Carlsberg,BRAND,True,"Ncell, Saurya Airlines, online class, Samsung, Carlsberg",seed_guide
OOV_0003,तुम्बहल,PROP,True,"तुम्बहल, सिनामङ्गल, FonePay, उज्ज्वला योजना, zoom meeting",seed_guide
OOV_0003,सिनामङ्गल,NAV,True,"तुम्बहल, सिनामङ्गल, FonePay, उज्ज्वला योजना, zoom meeting",seed_guide
OOV_0003,FonePay,BRAND,True,"तुम्बहल, सिनामङ्गल, FonePay, उज्ज्वला योजना, zoom meeting",seed_guide
OOV_0003,उज्ज्वला योजना,GOVT,True,"तुम्बहल, सिनामङ्गल, FonePay, उज्ज्वला योजना, zoom meeting",seed_guide
OOV_0003,zoom meeting,CM,True,"तुम्बहल, सिनामङ्गल, FonePay, उज्ज्वला योजना, zoom meeting",seed_guide
OOV_0004,spam message,CM,True,"spam message, Disprin, साँखु, तिलिचो ताल, साँझतिर",seed_guide
OOV_0004,Disprin,BRAND,True,"spam message, Disprin, साँखु, तिलिचो ताल, साँझतिर",seed_guide
OOV_0004,साँखु,NAV,True,"spam message, Disprin, साँखु, तिलिचो ताल, साँझतिर",seed_guide
OOV_0004,तिलिचो ताल,PROP,True,"spam message, Disprin, साँखु, तिलिचो ताल, साँझतिर",seed_guide
OOV_0004,साँझतिर,PROP,True,"spam message, Disprin, साँखु, तिलिचो ताल, साँझतिर",step4_corpus
OOV_0005,स्वर्णलक्ष्मी,PROP,True,"स्वर्णलक्ष्मी, भक्तपुर दरबार, स्थानीय सरकार, Vivo, रारा ताल",seed_guide
OOV_0005,भक्तपुर दरबार,NAV,True,"स्वर्णलक्ष्मी, भक्तपुर दरबार, स्थानीय सरकार, Vivo, रारा ताल",seed_guide
OOV_0005,स्थानीय सरकार,GOVT,True,"स्वर्णलक्ष्मी, भक्तपुर दरबार, स्थानीय सरकार, Vivo, रारा ताल",seed_guide
OOV_0005,Vivo,BRAND,True,"स्वर्णलक्ष्मी, भक्तपुर दरबार, स्थानीय सरकार, Vivo, रारा ताल",seed_guide
OOV_0005,रारा ताल,PROP,True,"स्वर्णलक्ष्मी, भक्तपुर दरबार, स्थानीय सरकार, Vivo, रारा ताल",seed_guide
OOV_0006,Mega Bank,CMPY,True,"Mega Bank, फाप्लु, पुतलीसडक, Panasonic, IT",seed_guide
OOV_0006,फाप्लु,PROP,True,"Mega Bank, फाप्लु, पुतलीसडक, Panasonic, IT",seed_guide
OOV_0006,पुतलीसडक,NAV,True,"Mega Bank, फाप्लु, पुतलीसडक, Panasonic, IT",seed_guide
OOV_0006,Panasonic,BRAND,True,"Mega Bank, फाप्लु, पुतलीसडक, Panasonic, IT",seed_guide
OOV_0006,IT,ABBR,True,"Mega Bank, फाप्लु, पुतलीसडक, Panasonic, IT",seed_guide
OOV_0007,युवा स्वरोजगार,GOVT,True,"युवा स्वरोजगार, WiFi signal, परिक्षणआयोजना, अस्ट्रेलिया, UCPN",seed_guide
OOV_0007,WiFi signal,CM,True,"युवा स्वरोजगार, WiFi signal, परिक्षणआयोजना, अस्ट्रेलिया, UCPN",seed_guide
OOV_0007,परिक्षणआयोजना,GOVT,True,"युवा स्वरोजगार, WiFi signal, परिक्षणआयोजना, अस्ट्रेलिया, UCPN",step4_corpus
OOV_0007,अस्ट्रेलिया,PROP,True,"युवा स्वरोजगार, WiFi signal, परिक्षणआयोजना, अस्ट्रेलिया, UCPN",seed_guide
OOV_0007,UCPN,ABBR,True,"युवा स्वरोजगार, WiFi signal, परिक्षणआयोजना, अस्ट्रेलिया, UCPN",seed_guide
OOV_0008,अर्जेन्टिना,PROP,True,"अर्जेन्टिना, न्यातापोल, कपिलवस्तु, Purnima Finance, ICC",seed_guide
OOV_0008,न्यातापोल,PROP,True,"अर्जेन्टिना, न्यातापोल, कपिलवस्तु, Purnima Finance, ICC",seed_guide
OOV_0008,कपिलवस्तु,PROP,True,"अर्जेन्टिना, न्यातापोल, कपिलवस्तु, Purnima Finance, ICC",seed_guide
OOV_0008,Purnima Finance,CMPY,True,"अर्जेन्टिना, न्यातापोल, कपिलवस्तु, Purnima Finance, ICC",seed_guide
OOV_0008,ICC,ABBR,True,"अर्जेन्टिना, न्यातापोल, कपिलवस्तु, Purnima Finance, ICC",seed_guide
OOV_0009,रत्नपार्क,NAV,True,"रत्नपार्क, थोरोङ ला, Chilime Hydropower, Subisu, कृष्णमन्दिर",seed_guide
OOV_0009,थोरोङ ला,PROP,True,"रत्नपार्क, थोरोङ ला, Chilime Hydropower, Subisu, कृष्णमन्दिर",seed_guide
OOV_0009,Chilime Hydropower,CMPY,True,"रत्नपार्क, थोरोङ ला, Chilime Hydropower, Subisu, कृष्णमन्दिर",seed_guide
OOV_0009,Subisu,CMPY,True,"रत्नपार्क, थोरोङ ला, Chilime Hydropower, Subisu, कृष्णमन्दिर",seed_guide
OOV_0009,कृष्णमन्दिर,PROP,True,"रत्नपार्क, थोरोङ ला, Chilime Hydropower, Subisu, कृष्णमन्दिर",seed_guide
OOV_0010,Pepsi,BRAND,True,"Pepsi, Esewa, त्रिपुरेश्वर, मुख्यमन्त्री रोजगार, भोजपुर",seed_guide
OOV_0010,Esewa,BRAND,True,"Pepsi, Esewa, त्रिपुरेश्वर, मुख्यमन्त्री रोजगार, भोजपुर",seed_guide
OOV_0010,त्रिपुरेश्वर,NAV,True,"Pepsi, Esewa, त्रिपुरेश्वर, मुख्यमन्त्री रोजगार, भोजपुर",seed_guide
OOV_0010,मुख्यमन्त्री रोजगार,GOVT,True,"Pepsi, Esewa, त्रिपुरेश्वर, मुख्यमन्त्री रोजगार, भोजपुर",seed_guide
OOV_0010,भोजपुर,NAV,True,"Pepsi, Esewa, त्रिपुरेश्वर, मुख्यमन्त्री रोजगार, भोजपुर",seed_guide
OOV_0011,दिवङ्गत,PROP,True,"दिवङ्गत, संघीय संसद, त्रियुगा, फिनल्याण्ड, बनेपा",step4_corpus
OOV_0011,संघीय संसद,GOVT,True,"दिवङ्गत, संघीय संसद, त्रियुगा, फिनल्याण्ड, बनेपा",seed_guide
OOV_0011,त्रियुगा,PROP,True,"दिवङ्गत, संघीय संसद, त्रियुगा, फिनल्याण्ड, बनेपा",seed_guide
OOV_0011,फिनल्याण्ड,PROP,True,"दिवङ्गत, संघीय संसद, त्रियुगा, फिनल्याण्ड, बनेपा",seed_guide
OOV_0011,बनेपा,NAV,True,"दिवङ्गत, संघीय संसद, त्रियुगा, फिनल्याण्ड, बनेपा",seed_guide
OOV_0012,चेन्नईले,PROP,True,"चेन्नईले, ल्हासा, live streaming, Kurkure, पोखरा लेकसाइड",step4_corpus
OOV_0012,ल्हासा,PROP,True,"चेन्नईले, ल्हासा, live streaming, Kurkure, पोखरा लेकसाइड",seed_guide
OOV_0012,live streaming,CM,True,"चेन्नईले, ल्हासा, live streaming, Kurkure, पोखरा लेकसाइड",seed_guide
OOV_0012,Kurkure,BRAND,True,"चेन्नईले, ल्हासा, live streaming, Kurkure, पोखरा लेकसाइड",seed_guide
OOV_0012,पोखरा लेकसाइड,NAV,True,"चेन्नईले, ल्हासा, live streaming, Kurkure, पोखरा लेकसाइड",seed_guide
