word,corpus_freq,n_missing,missing_bigrams,category,is_oov,keep,noise_flags,notes
नेपालकॊ,3,1,['कॊ'],CMPY,True,True,,
कोषू,3,1,['षू'],GOVT,True,True,,
परिक्षणआयोजना,2,1,['णआ'],GOVT,True,True,,
बुद्धचोकमा,47,1,['धच'],NAV,True,True,,
कालीञ्चोकमा,19,1,['ीञ'],NAV,True,True,,
करोड़ौं,3,1,['़ौ'],NAV,True,True,,
करोड़ौंको,3,1,['़ौ'],NAV,True,True,,
चेन्नई,530,1,['नई'],PROP,True,True,,
वफादार,518,1,['वफ'],PROP,True,True,,
दिवङ्गत,388,1,['वङ'],PROP,True,True,,
संर्घष,262,1,['घष'],PROP,True,True,,
उत्तरायणं,206,1,['णं'],PROP,True,True,,
अर्धचेत,205,1,['धच'],PROP,True,True,,
दुईथरी,192,1,['ईथ'],PROP,True,True,,
सहइन्चार्ज,192,1,['हइ'],PROP,True,True,,
दासढुंगा,189,1,['सढ'],PROP,True,True,,
यूथ,177,1,['ूथ'],PROP,True,True,,
साँझतिर,164,1,['झत'],PROP,True,True,,
माघभित्र,162,1,['घभ'],PROP,True,True,,
दासढुंगामा,160,1,['सढ'],PROP,True,True,,
सोरठी,157,1,['रठ'],PROP,True,True,,
जण्डिस,149,1,['जण'],PROP,True,True,,
जँचाउन,141,1,['जँ'],PROP,True,True,,
रंगखबर,134,1,['गख'],PROP,True,True,,
कथंकदाचित,126,1,['थं'],PROP,True,True,,
अर्धदक्ष,125,1,['धद'],PROP,True,True,,
मेषः,118,1,['षः'],PROP,True,True,,
रूथ,116,1,['ूथ'],PROP,True,True,,
ऐया,116,1,['ऐय'],PROP,True,True,,
चउरमा,113,1,['चउ'],PROP,True,True,,
हफ्ता,112,1,['हफ'],PROP,True,True,,
चेन्नईले,108,1,['नई'],PROP,True,True,,
काठमाडौः,107,1,['ौः'],PROP,True,True,,
घोसणा,105,1,['सण'],PROP,True,True,,
छभने,105,1,['छभ'],PROP,True,True,,
स्थूल,103,1,['थू'],PROP,True,True,,
अौं,102,1,['अौ'],PROP,True,True,,
सम्झ्ौता,101,1,['्ौ'],PROP,True,True,,
घरपझोङ,99,1,['पझ'],PROP,True,True,,
औडाहा,97,1,['औड'],PROP,True,True,,
पउल,96,1,['पउ'],PROP,True,True,,
छउन्जेल,96,1,['छउ'],PROP,True,True,,
वृषः,95,1,['षः'],PROP,True,True,,
बढछ,93,1,['ढछ'],PROP,True,True,,
फिरऊनले,91,1,['रऊ'],PROP,True,True,,
एफथ्री,90,1,['फथ'],PROP,True,True,,
जँड्याहा,89,1,['जँ'],PROP,True,True,,
बेगखोला,89,1,['गख'],PROP,True,True,,
यज्ञनिधिको,87,1,['ञन'],PROP,True,True,,
उद्घघाटन,87,1,['घघ'],PROP,True,True,,
एओसी,84,1,['एओ'],PROP,True,True,,
शुभफल,84,1,['भफ'],PROP,True,True,,
सिंढी,78,1,['ंढ'],PROP,True,True,,
सहइञ्चार्ज,78,1,['हइ'],PROP,True,True,,
ऐठन,78,1,['ऐठ'],PROP,True,True,,
पार्टर्ीी,75,1,['ीी'],PROP,True,True,,
दुईथान,74,1,['ईथ'],PROP,True,True,,
चउर,74,1,['चउ'],PROP,True,True,,
यज्ञनिधि,74,1,['ञन'],PROP,True,True,,
पुनःगठन,74,1,['ःग'],PROP,True,True,,
राष्टिूय,74,1,['िू'],PROP,True,True,,
गाइघाट,72,1,['इघ'],PROP,True,True,,
बुझइ,72,1,['झइ'],PROP,True,True,,
थिएः,71,1,['एः'],PROP,True,True,,
बाथटबमा,70,1,['थट'],PROP,True,True,,
