word,category,is_oov,notes,source
ल्हासा,PROP,True,Lh- cluster — Tibetan,seed_guide
ल्होत्से,PROP,True,Lh- cluster — mountain,seed_guide
मकालु,PROP,True,Borrowed Tibetan/Sanskrit,seed_guide
मुस्ताङ,PROP,True,Ng-final — region name,seed_guide
खोटाङ,PROP,True,Kh- + nasal final,seed_guide
सोलुखुम्बु,PROP,True,Kh- cluster + labial,seed_guide
सिन्धुपाल्चोक,PROP,True,Conjunct ल्च,seed_guide
दोलखा,PROP,True,Lkh cluster,seed_guide
मनाङ,PROP,True,Ng-final,seed_guide
डोल्पा,PROP,True,Retroflex D + final a,seed_guide
ह्युम्बु,PROP,True,Hy- + Tibetan origin,seed_guide
त्सोरोलपा,PROP,True,Tso- glacier lake — Tibetan,seed_guide
फ्वाङलुङ,PROP,True,Phw- cluster — Tibetan place,seed_guide
ग्ल्यासिअर,PROP,True,English loanword as place reference,seed_guide
ज्वालामुखी,PROP,True,Jw- cluster — volcanic,seed_guide
श्रीस्वस्थानी,PROP,True,Shree + sw- cluster,seed_guide
फ्रान्स,PROP,True,Fr- cluster — country name,seed_guide
ब्राजिल,PROP,True,Br- + final l,seed_guide
जर्मनी,PROP,True,Jrm- cluster,seed_guide
क्यानडा,PROP,True,Kya- cluster,seed_guide
अस्ट्रेलिया,PROP,True,Str- cluster — country,seed_guide
न्युजिल्याण्ड,PROP,True,Nyu- + final nd,seed_guide
स्विट्जरल्याण्ड,PROP,True,Sw- + tzr- cluster,seed_guide
नर्वे,PROP,True,Final -e,seed_guide
फिनल्याण्ड,PROP,True,Fn- cluster,seed_guide
धौलागिरि,PROP,True,Dh- + complex suffix — 7th highest,seed_guide
कञ्चनजङ्घा,PROP,True,Conjunct ञ्च + ङ्घ — 3rd highest,seed_guide
अन्नपूर्णा,PROP,True,nn- geminate + rna cluster,seed_guide
मनास्लु,PROP,True,Final -slu cluster,seed_guide
चो ओयु,PROP,True,Tibetan — vowel sequence,seed_guide
गणेश हिमाल,PROP,True,Deity name + Himal,seed_guide
लाङटाङ हिमाल,PROP,True,Ng-final + Tibetan,seed_guide
त्रिशूल,PROP,True,Tri- + shul — deity weapon/peak,seed_guide
पुम्री हिउँचुली,PROP,True,Hiun + chuli — rare cluster,seed_guide
थोरोङ ला,PROP,True,Tho- + Tibetan suffix La (pass),seed_guide
त्रिशूलगंगा,PROP,True,Tri- + compound + nasal,seed_guide
भेरी नदी,PROP,True,Bh- + nasal initial,seed_guide
कर्णाली नदी,PROP,True,rn- cluster — major river,seed_guide
सप्तकोशी,PROP,True,Sapta + koshi compound,seed_guide
त्रियुगा,PROP,True,Tri- + yuga — Udaypur river,seed_guide
फेवा ताल,PROP,True,Ph- + Pokhara lake,seed_guide
रारा ताल,PROP,True,Reduplication — largest lake,seed_guide
तिलिचो ताल,PROP,True,High altitude — lch cluster,seed_guide
गोसाइँकुण्ड,PROP,True,Compound — nd final + sacred lake,seed_guide
बुढीगण्डकी,PROP,True,Bh- + ndak compound,seed_guide
पशुपतिनाथ,PROP,True,Sh- + compound — UNESCO site,seed_guide
चाँगुनारायण,PROP,True,Chh- + compound — oldest temple,seed_guide
न्यातापोल,PROP,True,Ny- cluster — Bhaktapur,seed_guide
भीमसेन थान,PROP,True,Bh- + deity name,seed_guide
हिरण्यवर्ण महाविहार,PROP,True,rny- cluster — Golden Temple Patan,seed_guide
कृष्णमन्दिर,PROP,True,Kr- + compound — Patan Durbar,seed_guide
तुम्बहल,PROP,True,mb- cluster — Newari courtyard,seed_guide
वज्रयोगिनी,PROP,True,Vj- cluster + yogini,seed_guide
पोर्चुगल,PROP,True,Port- + final l,seed_guide
स्पेन,PROP,True,Sp- cluster,seed_guide
ग्रीस,PROP,True,Gr- cluster,seed_guide
श्रीलङ्का,PROP,True,Shr- + conjunct ङ्क,seed_guide
म्यानमार,PROP,True,My- cluster + final r,seed_guide
